title,authors,affiliation,venue,year,latitude,longitude
Human-centric machine learning: enabling machine learning for high-stakes decision-making.,Unknown Author,Unknown Venue,Unknown Venue,2018,,
Adversarial Machine Learning,"Yevgeniy Vorobeychik, Murat Kantarcioglu",Synthesis Lectures on Artificial Intelligence and Machine Learning,Synthesis Lectures on Artificial Intelligence and Machine Learning,2018,,
Supervised machine learning in multimodal learning analytics for estimating success in project-based learning.,"Daniel Spikol, Emanuele Ruffaldi, Giacomo Dabisias, Mutlu Cukurova",J. Comput. Assist. Learn.,J. Comput. Assist. Learn.,2018,,
Can Machine Learning Correct Commonly Accepted Knowledge and Provide Understandable Knowledge in Care Support Domain? Tackling Cognitive Bias and Humanity from Machine Learning Perspective.,Unknown Author,AAAI Spring Symposia,AAAI Spring Symposia,2018,,
Monitoring Machine Tool Based on External Physical Characteristics of the Machine Tool Using Machine Learning Algorithm.,"Chia-Ruei Liu, Li-Hua Duan, Po-Wei Chen, Chao-Chun Yang",AI4I,AI4I,2018,,
A Marauder&apos;s Map of Security and Privacy in Machine Learning: An overview of current and future research directions for making machine learning secure and private.,Unknown Author,AISec@CCS,AISec@CCS,2018,,
"Current Advances, Trends and Challenges of Machine Learning and Knowledge Extraction: From Machine Learning to Explainable AI.","Andreas Holzinger, Peter Kieseberg, Edgar R. Weippl, A Min Tjoa",CD-MAKE,CD-MAKE,2018,41.642501,41.633187
"Machine Learning for Software Analysis: Models, Methods, and Applications.","Amel Bennaceur, Karl Meinke",Machine Learning for Dynamic Software Analysis,Machine Learning for Dynamic Software Analysis,2018,,
Extending Automata Learning to Extended Finite State Machines.,"Sofia Cassel, Falk Howar, Bengt Jonsson 0001, Bernhard Steffen",Machine Learning for Dynamic Software Analysis,Machine Learning for Dynamic Software Analysis,2018,,
Combining Machine Learning and Domain Experience: A Hybrid-Learning Monitor Approach for Industrial Machines.,"Daniel Olivotti, Jens Passlick, Alexander Axjonow, Dennis Eilers, Michael H. Breitner",IESS,IESS,2018,-0.21787605,-78.51216321118659
Machine learning-based recommendation trust model for machine-to-machine communication.,"Elvin Eziama, Luz M. S. Jaimes, James Agajo, Kenneth Sorle Nwizege, Ali Balador, Kemal Tepe",ISSPIT,ISSPIT,2018,,
Machine Learning and Learning Analytics: Integrating Data with Learning.,Unknown Author,ITHET,ITHET,2018,,
Challenges of Machine Learning for Living Machines.,"Jordi-Ysard Puigbò, Xerxes D. Arsiwalla, Paul F. M. J. Verschure",Living Machines,Living Machines,2018,,
Special session on machine learning: How will machine learning transform test?,"Yiorgos Makris, Amit Nahar, Haralampos-G. D. Stratigopoulos, Marc Hutner",VTS,VTS,2018,51.43484325,0.16639596905444637
Transparency in Fair Machine Learning: the Case of Explainable Recommender Systems.,"Behnoush Abdollahi, Olfa Nasraoui",Human and Machine Learning,Human and Machine Learning,2018,,
Evaluation of Interactive Machine Learning Systems.,"Nadia Boukhelifa, Anastasia Bezerianos, Evelyne Lutton",Human and Machine Learning,Human and Machine Learning,2018,,
User-Centred Evaluation for Machine Learning.,"Scott Allen Cambo, Darren Gergle",Human and Machine Learning,Human and Machine Learning,2018,,
Trust and Transparency in Machine Learning-Based Clinical Decision Support.,Unknown Author,Human and Machine Learning,Human and Machine Learning,2018,,
Structural Health Monitoring Using Machine Learning Techniques and Domain Knowledge Based Features.,"Nguyen Lu Dang Khoa, Mehrisadat Makki Alamdari, Thierry Rakotoarivelo, Ali Anaissi, Yang Wang 0002",Human and Machine Learning,Human and Machine Learning,2018,,
"Trust of Learning Systems: Considerations for Code, Algorithms, and Affordances for Learning.","Joseph B. Lyons, Nhut Tan Ho, Jeremy Friedman, Gene M. Alarcon, Svyatoslav Guznov",Human and Machine Learning,Human and Machine Learning,2018,,
Transparency Communication for Machine Learning in Human-Automation Interaction.,"David V. Pynadath, Michael J. Barnes, Ning Wang 0012, Jessie Y. C. Chen",Human and Machine Learning,Human and Machine Learning,2018,,
Beyond Human-in-the-Loop: Empowering End-Users with Transparent Machine Learning.,Unknown Author,Human and Machine Learning,Human and Machine Learning,2018,,
Interactive Machine Learning for Applications in Food Science.,"Alberto Paolo Tonda, Nadia Boukhelifa, Thomas Chabin, Marc Barnabé, Benoît Génot, Evelyne Lutton, Nathalie Perrot",Human and Machine Learning,Human and Machine Learning,2018,,
Water Pipe Failure Prediction: A Machine Learning Approach Enhanced By Domain Knowledge.,"Bang Zhang, Ting Guo, Lelin Zhang, Peng Lin, Yang Wang 0002, Jianlong Zhou, Fang Chen 0001",Human and Machine Learning,Human and Machine Learning,2018,,
Effective Design in Human and Machine Learning: A Cognitive Perspective.,"Robert Zheng, Kevin Greenberg",Human and Machine Learning,Human and Machine Learning,2018,,
2D Transparency Space - Bring Domain Users and Machine Learning Experts Together.,"Jianlong Zhou, Fang Chen 0001",Human and Machine Learning,Human and Machine Learning,2018,,
Revealing User Confidence in Machine Learning-Based Decision Making.,"Jianlong Zhou, Kun Yu, Fang Chen 0001",Human and Machine Learning,Human and Machine Learning,2018,,
"Proceedings of The 10th Asian Conference on Machine Learning, ACML 2018, Beijing, China, November 14-16, 2018.","Jun Zhu 0001, Ichiro Takeuchi","['ACML', 'Proceedings of Machine Learning Research']","['ACML', 'Proceedings of Machine Learning Research']",2018,,
"Braverman Readings in Machine Learning. Key Ideas from Inception to Current State - International Conference Commemorating the 40th Anniversary of Emmanuil Braverman&apos;s Decease, Boston, MA, USA, April 28-30, 2017, Invited Talks","Lev I. Rozonoer, Boris G. Mirkin, Ilya Muchnik","['Braverman Readings in Machine Learning', 'Lecture Notes in Computer Science']","['Braverman Readings in Machine Learning', 'Lecture Notes in Computer Science']",2018,,
"Machine Learning for Dynamic Software Analysis: Potentials and Limits - International Dagstuhl Seminar 16172, Dagstuhl Castle, Germany, April 24-27, 2016, Revised Papers","Amel Bennaceur, Reiner Hähnle, Karl Meinke","['Machine Learning for Dynamic Software Analysis', 'Lecture Notes in Computer Science']","['Machine Learning for Dynamic Software Analysis', 'Lecture Notes in Computer Science']",2018,,
"Proceedings of the 35th International Conference on Machine Learning, ICML 2018, Stockholmsmässan, Stockholm, Sweden, July 10-15, 2018","Jennifer G. Dy, Andreas Krause 0001","['ICML', 'Proceedings of Machine Learning Research']","['ICML', 'Proceedings of Machine Learning Research']",2018,,
"Proceedings of the Machine Learning for Healthcare Conference, MLHC 2018, 17-18 August 2018, Palo Alto, California","Finale Doshi-Velez, Jim Fackler, Ken Jung, David C. Kale, Rajesh Ranganath, Byron C. Wallace, Jenna Wiens","['MLHC', 'Proceedings of Machine Learning Research']","['MLHC', 'Proceedings of Machine Learning Research']",2018,,
"Human and Machine Learning - Visible, Explainable, Trustworthy and Transparent","Jianlong Zhou, Fang Chen 0001","['Human and Machine Learning', 'Human-Computer Interaction Series']","['Human and Machine Learning', 'Human-Computer Interaction Series']",2018,,
EEG Steady-State Visual Evoked Potential Signals.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2018,,
Optical Interconnection Network.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2018,,
2.4 GHZ Indoor Channel Measurements.,"Mohamed I. AlHajri, Nazar T. Ali, Raed M. Shubair",UCI Machine Learning Repository,UCI Machine Learning Repository,2018,,
Caesarian Section Classification Dataset.,"Muhammad Amin, Amir Ali",UCI Machine Learning Repository,UCI Machine Learning Repository,2018,,
PANDOR.,"Massih-Reza Amini, Charlotte Laclau, Sumit Sidana",UCI Machine Learning Repository,UCI Machine Learning Repository,2018,,
GNFUV Unmanned Surface Vehicles Sensor Data.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2018,,
Electrical Grid Stability Simulated Data.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2018,,
Physical Unclonable Functions.,"Ahmad O. Aseeri, Mohammed Saeed Alkatheiri, Yu Zhuang",UCI Machine Learning Repository,UCI Machine Learning Repository,2018,,
SCADI.,"S. M. M. Fatemi Bushehri, M. Dehghanizadeh, Shokoofeh Kalantar, Mohsen Sardari Zarchi",UCI Machine Learning Repository,UCI Machine Learning Repository,2018,,
Dishonest Internet users Dataset.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2018,,
BAUM-2.,"Cigdem Eroglu Erdem, Cigdem Turan, Z. Aydn",UCI Machine Learning Repository,UCI Machine Learning Repository,2018,,
Behavior of the urban traffic of the city of Sao Paulo in Brazil.,"Ricardo P. Ferreira, Andréa Martiniano, Renato José Sassi",UCI Machine Learning Repository,UCI Machine Learning Repository,2018,,
Victorian Era Authorship Attribution.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2018,,
Ultrasonic flowmeter diagnostics.,"Kojo Sarfo Gyamfi, Craig Marshall",UCI Machine Learning Repository,UCI Machine Learning Repository,2018,,
Superconductivty Data.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2018,,
Condition monitoring of hydraulic systems.,"Nikolai Helwig, Eliseo Pignanelli, Andreas Schütze",UCI Machine Learning Repository,UCI Machine Learning Repository,2018,,
Early biomarkers of Parkinsonâ€™s disease based on natural connected speech Data Set.,"J. Hlavnika, R. Mejla, T. Tykalov, K. Onka, E. Rika, J. Rusz, J. J.",UCI Machine Learning Repository,UCI Machine Learning Repository,2018,,
chipseq.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2018,,
Audit Data.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2018,,
Student Academics Performance.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2018,,
Drug Review Dataset (Drugs.com).,"Surya Kallumadi, Felix Gräßer",UCI Machine Learning Repository,UCI Machine Learning Repository,2018,,
Drug Review Dataset (Druglib.com).,"Surya Kallumadi, Felix Gräßer",UCI Machine Learning Repository,UCI Machine Learning Repository,2018,,
Health News in Twitter.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2018,,
Immunotherapy Dataset.,"Fahime Khozeimeh, Roohallah Alizadehsani, Mohamad Roshanzamir, Pouran Layegh",UCI Machine Learning Repository,UCI Machine Learning Repository,2018,,
Cryotherapy Dataset.,"Fahime Khozeimeh, Roohallah Alizadehsani, Mohamad Roshanzamir, Pouran Layegh",UCI Machine Learning Repository,UCI Machine Learning Repository,2018,,
Somerville Happiness Survey.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2018,,
Repeat Consumption Matrices.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2018,,
PMU-UD.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2018,,
Absenteeism at work.,"Andréa Martiniano, Ricardo P. Ferreira",UCI Machine Learning Repository,UCI Machine Learning Repository,2018,,
detection_of_IoT_botnet_attacks_N_BaIoT.,"Yair Meidan, Michael Bohadana, Yael Mathov, Yisroel Mirsky, Dominik Breitenbacher, Asaf, Asaf Shabtai",UCI Machine Learning Repository,UCI Machine Learning Repository,2018,,
BLE RSSI Dataset for Indoor localization and Navigation.,"Mehdi Mohammadi, Ala I. Al-Fuqaha",UCI Machine Learning Repository,UCI Machine Learning Repository,2018,,
Multimodal Damage Identification for Humanitarian Computing.,"Hussein Mouzannar, Yara Rizk, Mariette Awad",UCI Machine Learning Repository,UCI Machine Learning Repository,2018,,
SGEMM GPU kernel performance.,"Enrique G. Paredes, Rafael Ballester-Ripoll",UCI Machine Learning Repository,UCI Machine Learning Repository,2018,,
Breast Cancer Coimbra.,"Miguel Patrício, José Pereira, Joana Crisstomo, Paulo Matafome, Raquel Seiça, Francisco Caramelo",UCI Machine Learning Repository,UCI Machine Learning Repository,2018,,
Residential Building Data Set.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2018,,
Travel Reviews.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2018,,
Tarvel Review Ratings.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2018,,
BuddyMove Data Set.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2018,,
Sports articles for objectivity analysis.,"Yara Rizk, Mariette Awad",UCI Machine Learning Repository,UCI Machine Learning Repository,2018,,
Online Shoppers Purchasing Intention Dataset.,"Cemal Okan Sakar, Yomi Kastro",UCI Machine Learning Repository,UCI Machine Learning Repository,2018,,
Parkinson&apos;s Disease Classification.,"Cemal Okan Sakar, Gorkem Serbes, Aysegul Günduz, Hatice Nizam, Betul Erdogdu Sakar",UCI Machine Learning Repository,UCI Machine Learning Repository,2018,,
WESAD (Wearable Stress and Affect Detection).,"Philip Schmidt 0001, Attila Reiss",UCI Machine Learning Repository,UCI Machine Learning Repository,2018,,
Roman Urdu Data Set.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2018,,
Avila.,"Claudio De Stefano, Francesco Fontanella, Marilena Maniaci, Alessandra Scotto di Freca",UCI Machine Learning Repository,UCI Machine Learning Repository,2018,,
News Popularity in Multiple Social Media Platforms.,"Luís Torgo, Nuno Moniz",UCI Machine Learning Repository,UCI Machine Learning Repository,2018,,
Discrete Tone Image Dataset.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2018,,
ICMLA 2014 Accepted Papers Data Set.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2018,,
Real Estate Valuation.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2018,,
Simulated Falls and Daily Living Activities Data Set.,"Ahmet Zdemir, Billur Barshan",UCI Machine Learning Repository,UCI Machine Learning Repository,2018,,
BAUM-1.,"Sara Zhalehpour, Onur Onder, Zahid Akhtar, Cigdem Eroglu Erdem",UCI Machine Learning Repository,UCI Machine Learning Repository,2018,,
Learning to Evade Static PE Machine Learning Malware Models via Reinforcement Learning.,"Hyrum S. Anderson, Anant Kharkar, Bobby Filar, David Evans 0001, Phil Roth 0002",CoRR,CoRR,2018,53.9634467,-7.4991271
Trustless Machine Learning Contracts; Evaluating and Exchanging Machine Learning Models on the Ethereum Blockchain.,"A. Besir Kurtulmus, Kenny Daniel",CoRR,CoRR,2018,53.9634467,-7.4991271
How Developers Iterate on Machine Learning Workflows - A Survey of the Applied Machine Learning Literature.,"Doris Xin, Litian Ma, Shuchen Song, Aditya G. Parameswaran",CoRR,CoRR,2018,53.9634467,-7.4991271
MARVIN: An Open Machine Learning Corpus and Environment for Automated Machine Learning Primitive Annotation and Execution.,"Chris A. Mattmann, Sujen Shah, Brian Wilson",CoRR,CoRR,2018,53.9634467,-7.4991271
When Conventional machine learning meets neuromorphic engineering: Deep Temporal Networks (DTNets) a machine learning frawmework allowing to operate on Events and Frames and implantable on Tensor Flow Like Hardware.,"Marco Macanovic, Fabian Chersi, Félix Rutard, Sio-Hoi Ieng, Ryad Benosman",CoRR,CoRR,2018,53.9634467,-7.4991271
"Proceedings of the 5th Workshop on Machine Learning and Data Mining for Sports Analytics co-located with 2018 European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases (ECML PKDD 2018), Dublin, Ireland, September 10th, 2018.",,"['MLSA@PKDD/ECML', 'CEUR Workshop Proceedings']","['MLSA@PKDD/ECML', 'CEUR Workshop Proceedings']",2018,,
Personal State and Emotion Monitoring by Wearable Computing and Machine Learning (Persönliche Zustands- und Emotionsüberwachung durch Wearable Computing und Machine Learning),Unknown Author,Unknown Venue,Unknown Venue,2017,,
Weakly supervised machine learning algorithms for object recognition in-the-wild and entity linking in videos ; Zwak toezicht machine learning algoritmen voor objectherkenning in-the-wild en entiteit koppelen in video&apos;s.,Unknown Author,Unknown Venue,Unknown Venue,2017,,
"Data Mining and Machine Learning Methods for High-dimensional Patient Data in Dementia Research: Voxel Features Mining, Subgroup Discovery and Multi-view Learning (Data Mining und Maschinelles Lernen Verfahren für Hochdimensionale Patientendaten in Demenzforschung : Voxel Merkmale Mining, Subgroup Discovery und Multi-View-Learning)",Unknown Author,Unknown Venue,Unknown Venue,2017,,
Adaptive machine learning algorithms for data streams subject to concept drifts. (Algorithmes de machine learning adaptatifs pour flux de données sujets à des changements de concept).,Unknown Author,Unknown Venue,Unknown Venue,2017,,
From Reinforcement Learning to Deep Reinforcement Learning: An Overview.,"Forest Agostinelli, Guillaume Hocquet, Sameer Singh 0001, Pierre Baldi",Braverman Readings in Machine Learning,Braverman Readings in Machine Learning,2017,,
"Compactness Hypothesis, Potential Functions, and Rectifying Linear Space in Machine Learning.","Vadim Mottl, Oleg Seredin, Olga Krasotkina",Braverman Readings in Machine Learning,Braverman Readings in Machine Learning,2017,,
Learning pulse: a machine learning approach for predicting performance in self-regulated learning using multimodal data.,"Daniele Di Mitri, Maren Scheffel, Hendrik Drachsler, Dirk Börner, Stefaan Ternier, Marcus Specht",LAK,LAK,2017,48.3485774,20.866881
Brain machine interface for useful human interaction via extreme learning machine and state machine design.,"Garrett Sargent, Adam Cassedy, Haotian Zhang, Theus H. Aspiras, Alyssa Morgan, Emma Romstadt, Adam Van Camp, Victoria Dicillo, Arlen D&apos;Arcy, Vijayan K. Asari",SSCI,SSCI,2017,-26.255836549999998,-48.85122198737159
"Proceedings of The 9th Asian Conference on Machine Learning, ACML 2017, Seoul, Korea, November 15-17, 2017.","Min-Ling Zhang, Yung-Kyun Noh","['ACML', 'Proceedings of Machine Learning Research']","['ACML', 'Proceedings of Machine Learning Research']",2017,,
"Proceedings of the 34th International Conference on Machine Learning, ICML 2017, Sydney, NSW, Australia, 6-11 August 2017","Doina Precup, Yee Whye Teh","['ICML', 'Proceedings of Machine Learning Research']","['ICML', 'Proceedings of Machine Learning Research']",2017,,
"Proceedings of the Machine Learning for Health Care Conference, MLHC 2017, Boston, Massachusetts, USA, 18-19 August 2017","Finale Doshi-Velez, Jim Fackler, David C. Kale, Rajesh Ranganath, Byron C. Wallace, Jenna Wiens","['MLHC', 'Proceedings of Machine Learning Research']","['MLHC', 'Proceedings of Machine Learning Research']",2017,,
"Proceedings of the 2nd Workshop on Machine Learning and Data Mining for Sports Analytics co-located with 2015 European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases (ECML PKDD 2015), Porto, Portugal, September 11th, 2015.","Jesse Davis, Jan Van Haaren, Albrecht Zimmermann","['MLSA@PKDD/ECML', 'CEUR Workshop Proceedings']","['MLSA@PKDD/ECML', 'CEUR Workshop Proceedings']",2017,,
"Proceedings of the Workshop on Machine Learning and Data Mining for Sports Analytics 2016 co-located with the 2016 European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases, MLSA@PKDD/ECML 2016, Riva del Garda, Italy, September 19, 2016.","Jan Van Haaren, Mehdi Kaytoue, Jesse Davis","['MLSA@PKDD/ECML', 'CEUR Workshop Proceedings']","['MLSA@PKDD/ECML', 'CEUR Workshop Proceedings']",2017,,
"Proceedings of the International Workshop on Automatic Selection, Configuration and Composition of Machine Learning Algorithms co-located with the European Conference on Machine Learning &amp; Principles and Practice of Knowledge Discovery in Databases, AutoML@PKDD/ECML 2017, Skopje, Macedonia, September 22, 2017.","Pavel Brazdil, Joaquin Vanschoren, Frank Hutter, Holger H. Hoos","['AutoML@PKDD/ECML', 'CEUR Workshop Proceedings']","['AutoML@PKDD/ECML', 'CEUR Workshop Proceedings']",2017,,
"Proceedings of the 4th Workshop on Machine Learning and Data Mining for Sports Analytics co-located with 2017 European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases (ECML PKDD 2017), Skopje, Macedonia, September 18th, 2017.","Jesse Davis, Mehdi Kaytoue, Albrecht Zimmermann","['MLSA@PKDD/ECML', 'CEUR Workshop Proceedings']","['MLSA@PKDD/ECML', 'CEUR Workshop Proceedings']",2017,,
Encyclopedia of Machine Learning and Data Mining,"Claude Sammut, Geoffrey I. Webb",Encyclopedia of Machine Learning and Data Mining,Encyclopedia of Machine Learning and Data Mining,2017,,
Connections Between Inductive Inference and Machine Learning.,"John Case, Sanjay Jain 0001",Encyclopedia of Machine Learning and Data Mining,Encyclopedia of Machine Learning and Data Mining,2017,,
Machine Learning for IT Security.,Unknown Author,Encyclopedia of Machine Learning and Data Mining,Encyclopedia of Machine Learning and Data Mining,2017,,
Machine Learning and Game Playing.,Unknown Author,Encyclopedia of Machine Learning and Data Mining,Encyclopedia of Machine Learning and Data Mining,2017,,
Medicine: Applications of Machine Learning.,Unknown Author,Encyclopedia of Machine Learning and Data Mining,Encyclopedia of Machine Learning and Data Mining,2017,,
Phase Transitions in Machine Learning.,"Lorenza Saitta, Michèle Sebag",Encyclopedia of Machine Learning and Data Mining,Encyclopedia of Machine Learning and Data Mining,2017,,
Quantum Machine Learning.,"Maria Schuld, Francesco Petruccione",Encyclopedia of Machine Learning and Data Mining,Encyclopedia of Machine Learning and Data Mining,2017,,
Genetics-Based Machine Learning.,,Encyclopedia of Machine Learning and Data Mining,Encyclopedia of Machine Learning and Data Mining,2017,,
CSM (Conventional and Social Media Movies) Dataset 2014 and 2015.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2017,,
YouTube Spam Collection.,"Túlio C. Alberto, Johannes V. Lochter",UCI Machine Learning Repository,UCI Machine Learning Repository,2017,,
Z-Alizadeh Sani.,"Roohallah Alizadehsani, Mohamad Roshanzamir, Zahra Alizadeh Sani",UCI Machine Learning Repository,UCI Machine Learning Repository,2017,,
extention of Z-Alizadeh sani dataset.,"Roohallah Alizadehsani, Mohamad Roshanzamir, Zahra Alizadeh Sani",UCI Machine Learning Repository,UCI Machine Learning Repository,2017,,
Dynamic Features of VirusShare Executables.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2017,,
Geo-Magnetic field and WLAN dataset for indoor localisation from wristband and smartphone.,"Paolo Barsocchi, Antonino Crivello, Davide La Rosa, Filippo Palumbo",UCI Machine Learning Repository,UCI Machine Learning Repository,2017,,
Wireless Indoor Localization.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2017,,
Eco-hotel.,"C. Calheiros, Sérgio Moro, Paulo Rita",UCI Machine Learning Repository,UCI Machine Learning Repository,2017,,
Appliances energy prediction.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2017,,
Beijing PM2.5 Data.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2017,,
PM2.5 Data of Five Chinese Cities.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2017,,
Anuran Calls (MFCCs).,"Juan Gabriel Colonna, Eduardo Freire Nakamura, Marco Cristo, Marcelo Gordo",UCI Machine Learning Repository,UCI Machine Learning Repository,2017,,
FMA: A Dataset For Music Analysis.,"Michaël Defferrard, Kirell Benzi, Pierre Vandergheynst, Xavier Bresson",UCI Machine Learning Repository,UCI Machine Learning Repository,2017,,
Cervical cancer (Risk Factors).,"Kelwin Fernandes, Jaime S. Cardoso 0001, Jessica Fernandes",UCI Machine Learning Repository,UCI Machine Learning Repository,2017,,
Quality Assessment of Digital Colposcopies.,"Kelwin Fernandes, Jaime S. Cardoso 0001, Jessica Fernandes",UCI Machine Learning Repository,UCI Machine Learning Repository,2017,,
Daily Demand Forecasting Orders.,"Ricardo P. Ferreira, Andréa Martiniano, Arthur Ferreira, Aleister Ferreira, Renato José Sassi",UCI Machine Learning Repository,UCI Machine Learning Repository,2017,,
Container Crane Controller Data Set.,"Ricardo Pinto Ferreira, Andréa Martiniano, Arthur Ferreira, Marcio Romero, Renato José Sassi",UCI Machine Learning Repository,UCI Machine Learning Repository,2017,,
Motion Capture Hand Postures.,"Andrew Gardner 0001, Rastko R. Selmic, Jinko Kanno",UCI Machine Learning Repository,UCI Machine Learning Repository,2017,,
Early biomarkers of Parkinson&apos;s disease based on natural connected speech.,"J. Hlavnika, T. Tykalov, K. Onka, E. Rika, J. Rusz, J. J.",UCI Machine Learning Repository,UCI Machine Learning Repository,2017,,
Parkinson Disease Spiral Drawings Using Digitized Graphics Tablet.,"M. Erdem Isenkul, Betul Erdogdu Sakar",UCI Machine Learning Repository,UCI Machine Learning Repository,2017,,
Paper Reviews.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2017,,
TTC-3600: Benchmark dataset for Turkish text categorization.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2017,,
HTRU2.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2017,,
DSRC Vehicle Communications.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2017,,
Las Vegas Strip.,"Sérgio Moro, Paulo Rita, J. Coelho",UCI Machine Learning Repository,UCI Machine Learning Repository,2017,,
KDC-4007 dataset Collection.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2017,,
Data for Software Engineering Teamwork Assessment in Education Setting.,"Dragutin Petkovic, Rainer Todtenhoefer, Shihong Huang",UCI Machine Learning Repository,UCI Machine Learning Repository,2017,,
Burst Header Packet (BHP) flooding attack on Optical Burst Switching (OBS) Network.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2017,,
University of Tehran Question Dataset 2016 (UTQD.2016).,"Mohammad Razzaghnoori, Hedieh Sajedi, Iman Khani Jazani",UCI Machine Learning Repository,UCI Machine Learning Repository,2017,,
HCC Survival.,"Miriam Seoane Santos, Pedro H. Abreu, Pedro J. García-Laencina, Adélia Simão, Armando Carvalho",UCI Machine Learning Repository,UCI Machine Learning Repository,2017,,
KASANDR.,"Sumit Sidana, Charlotte Laclau, Massih-Reza Amini",UCI Machine Learning Repository,UCI Machine Learning Repository,2017,,
Autistic Spectrum Disorder Screening Data for Adolescent.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2017,,
Sales_Transactions_Dataset_Weekly.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2017,,
Autism Screening Adult.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2017,,
Autistic Spectrum Disorder Screening Data for Children.,Unknown Author,UCI Machine Learning Repository,UCI Machine Learning Repository,2017,,
Epileptic Seizure Recognition.,"Qiuyi Wu, Ernest Fokoué",UCI Machine Learning Repository,UCI Machine Learning Repository,2017,,
When Lempel-Ziv-Welch Meets Machine Learning: A Case Study of Accelerating Machine Learning using Coding.,"Fengan Li, Lingjiao Chen, Arun Kumar 0001, Jeffrey F. Naughton, Jignesh M. Patel, Xi Wu 0001",CoRR,CoRR,2017,53.9634467,-7.4991271
Identification of CIS-regulatory Modules and non-coding variation using Machine Learning Methods ; Identificatie van CIS-regulatorische Modules en niet-Coderende Variatie Door middel van Machine Learning methodes.,Unknown Author,Unknown Venue,Unknown Venue,2016,,
Spatial machine learning applied to multivariate and multimodal images. (Machine learning spatial appliquée aux images multivariées et multimodales).,Unknown Author,Unknown Venue,Unknown Venue,2016,,
Lifelong Machine Learning,"Zhiyuan Chen 0001, Bing Liu 0001",Synthesis Lectures on Artificial Intelligence and Machine Learning,Synthesis Lectures on Artificial Intelligence and Machine Learning,2016,,
How can machine-learning methods assist in virtual screening for hyperuricemia? A healthcare machine-learning approach.,"Daisuke Ichikawa, Toki Saito, Waka Ujita, Hiroshi Oyama 0001",J. Biomed. Informatics,J. Biomed. Informatics,2016,,
Ontology-Based Classification - Application of Machine Learning Concepts Without Learning.,Unknown Author,Solving Large Scale Learning Tasks,Solving Large Scale Learning Tasks,2016,,
Joint machine learning and human learning design with sequential active learning and outlier detection for linear regression problems.,"Xiaohua Li, Jian Zheng",CISS,CISS,2016,51.5471288,0.0046772
Learning Systems: Machine-Learning in Software Products and Learning-Based Analysis of Software Systems - Special Track at ISoLA 2016.,"Falk Howar, Karl Meinke, Andreas Rausch 0001",ISoLA,ISoLA,2016,45.5398936,13.65939
Machine Learning Solutions in Computer-Aided Medical Diagnosis.,Unknown Author,Machine Learning for Health Informatics,Machine Learning for Health Informatics,2016,,
A Tutorial on Machine Learning and Data Science Tools with Python.,"Marcus D. Bloice, Andreas Holzinger",Machine Learning for Health Informatics,Machine Learning for Health Informatics,2016,,
